start


confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=974 , Y=-78],  error Point2D [X=14 , Y=-198]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=987 , Y=-62],  error Point2D [X=27 , Y=-182]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=982 , Y=-66],  error Point2D [X=22 , Y=-186]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=980 , Y=-88],  error Point2D [X=20 , Y=-208]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=985 , Y=-73],  error Point2D [X=25 , Y=-193]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=980 , Y=-71],  error Point2D [X=20 , Y=-191]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=995 , Y=-73],  error Point2D [X=35 , Y=-193]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=990 , Y=-92],  error Point2D [X=30 , Y=-212]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=997 , Y=-74],  error Point2D [X=37 , Y=-194]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=977 , Y=-80],  error Point2D [X=17 , Y=-200]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=984 , Y=-60],  error Point2D [X=24 , Y=-180]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=981 , Y=-70],  error Point2D [X=21 , Y=-190]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=989 , Y=-78],  error Point2D [X=29 , Y=-198]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=978 , Y=-61],  error Point2D [X=18 , Y=-181]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=976 , Y=-68],  error Point2D [X=16 , Y=-188]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=984 , Y=-67],  error Point2D [X=24 , Y=-187]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=963 , Y=-66],  error Point2D [X=3 , Y=-186]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=981 , Y=-70],  error Point2D [X=21 , Y=-190]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=984 , Y=-89],  error Point2D [X=24 , Y=-209]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=983 , Y=-63],  error Point2D [X=23 , Y=-183]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=982 , Y=-75],  error Point2D [X=22 , Y=-195]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=986 , Y=-60],  error Point2D [X=26 , Y=-180]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=983 , Y=-72],  error Point2D [X=23 , Y=-192]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=981 , Y=-74],  error Point2D [X=21 , Y=-194]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=981 , Y=-81],  error Point2D [X=21 , Y=-201]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=987 , Y=-73],  error Point2D [X=27 , Y=-193]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=996 , Y=-84],  error Point2D [X=36 , Y=-204]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=991 , Y=-71],  error Point2D [X=31 , Y=-191]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=979 , Y=-85],  error Point2D [X=19 , Y=-205]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=984 , Y=-84],  error Point2D [X=24 , Y=-204]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=990 , Y=-64],  error Point2D [X=30 , Y=-184]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=989 , Y=-67],  error Point2D [X=29 , Y=-187]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=988 , Y=-76],  error Point2D [X=28 , Y=-196]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=976 , Y=-80],  error Point2D [X=16 , Y=-200]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=978 , Y=-65],  error Point2D [X=18 , Y=-185]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=975 , Y=-73],  error Point2D [X=15 , Y=-193]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=986 , Y=-79],  error Point2D [X=26 , Y=-199]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=981 , Y=-64],  error Point2D [X=21 , Y=-184]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=975 , Y=-83],  error Point2D [X=15 , Y=-203]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=983 , Y=-57],  error Point2D [X=23 , Y=-177]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=986 , Y=-66],  error Point2D [X=26 , Y=-186]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=983 , Y=-73],  error Point2D [X=23 , Y=-193]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=984 , Y=-60],  error Point2D [X=24 , Y=-180]
