start
time Gaze_x    Gaze_y    Contents
0   0.183467951719535 0.0437957200593928    1
1   0.109077901840692 -0.0102852642723974    1
2   0.0510044681162753 0.101829476262537    1
3   0.12461534659019 -0.00391057273589013    1
4   0.0629633293077632 0.106202552885634    1
5   0.118519820598976 0.00631591116996333    1
6   0.115228844944113 0.0668355118940553    1
7   0.122447813513531 0.0677047042204322    1
8   0.126001632410862 0.0879359477906974    1
9   0.134271838155087 0.0848238453949079    1
10   0.126067083968337 0.0813045220801314    1
11   0.127151038695047 0.0735292307369946    1
12   0.131240327915293 0.0752563728569839    1
13   0.133351710030979 0.0827463865430218    1
14   0.124404043958862 0.0927160517011316    1
15   0.129020268277145 0.0941989119552318    1
16   0.129655645085563 0.0709082407402093    1
17   0.117015205855751 0.0748863321522322    1
18   0.131763166184442 0.0961082575794308    1
19   0.136348341471603 0.0987552699272101    1
20   0.131624620598586 0.0852409291857157    1
21   0.208755617504494 0.063006449329464    1
0   0.324188769315242 0.0920681204926268    2
1   0.353453707129347 0.0975347514794294    2
2   0.363642875856158 0.0994134184978748    2
3   0.362622223504559 0.10226846838907    2
4   0.356528105310986 0.101821476857708    2
5   0.359207431700952 0.0994921806779985    2
6   0.355619881004031 0.0881918782832827    2
7   0.349884617679436 0.0955406745455321    2
8   0.352994811742519 0.109008669848436    2
9   0.359342247619338 0.0992503189343097    2
10   0.347781192319189 0.109410078246583    2
11   0.344731989747629 0.101995202439866    2
12   0.354026183135602 0.108234724465206    2
13   0.348041444667956 0.102013936359526    2
14   0.348550099667932 0.0908867630195118    2
15   0.349859114128776 0.0946979955123197    2
16   0.346287404197483 0.106369105448039    2
17   0.349548149536872 0.0905194493790304    2
18   0.346237293876243 0.0902269108946712    2
19   0.350399364849181 0.139561880905262    2
20   0.346967270669779 0.104128172022456    2
21   0.261992008747143 0.0974710611275214    2
0   0.154901193991805 0.0825999116134426    1
1   0.135907147770354 0.109521301654127    1
2   0.131269175321677 0.0786547979363377    1
3   0.130962278937886 0.0770152802194843    1
4   0.12893194889682 0.0671345764906164    1
5   0.136906407415609 0.0757719949478997    1
6   0.137894574941242 0.0804526872667566    1
7   0.142153149757519 0.073549279431063    1
8   0.13753773385065 0.0818957678009156    1
9   0.136432310090754 0.0799321247538956    1
10   0.135238753155704 0.0807596468569045    1
11   0.139047274141717 0.090913810866482    1
12   0.139638336955272 0.0783997146486399    1
13   0.137345709687793 0.082759759739929    1
14   0.13480305158123 0.0740764139089833    1
15   0.136598686398315 0.0853669181990426    1
16   0.131894624623214 0.0872612101895811    1
17   0.136510829814938 0.0763709756917024    1
18   0.144262247306983 0.0798489198771222    1
19   0.131435818791829 0.0864049087548437    1
20   0.131718307570168 0.0765794412675405    1
21   0.137190235303933 0.0735539869087916    1
22   0.136325792798402 0.0749286534683051    1
23   0.137961054473067 0.0781752078374893    1
24   0.132754786474607 0.0755307329093284    1
25   0.133982833585037 0.0842082970799538    1
26   0.13559964220849 0.0903614731203106    1
0   0.250896530609793 0.0814677790070846    2
1   0.339204318489692 0.104757707022941    2
2   0.337576615404373 0.0844406960695778    2
3   0.332766797371846 0.106742986163908    2
4   0.326514485046459 0.0963779273200771    2
5   0.325775997357482 0.100122362522256    2
6   0.333504246882285 0.0970418592536362    2
7   0.334451002098945 0.0940177037018657    2
8   0.330788305573378 0.0985679508811472    2
9   0.331720624072886 0.085234966334724    2
10   0.333574628853967 0.0974651784355274    2
11   0.337688263631094 0.104031772125495    2
12   0.325417004383894 0.0922155669829863    2
13   0.330928489408393 0.090206529530974    2
14   0.32580949400915 0.110055483108567    2
15   0.327486301271279 0.10965076831576    2
16   0.335013995773579 0.097135550365465    2
17   0.324241312899744 0.097536449254676    2
18   0.33242265362037 0.105300279864196    2
19   0.321986032431028 0.0940879626792821    2
20   0.331680040184665 0.112445899127124    2
21   0.32599771086484 0.118260876761155    2
22   0.321956261676064 0.102631322231559    2
23   0.332604373804656 0.108238443995901    2
24   0.325855859526655 0.120395178618537    2
25   0.388379276788555 0.122641920916863    2
26   0.392786026852264 0.234739335175504    2
27   0.375874952311619 0.204373138438655    2
28   0.392323747153227 0.0563195644102734    2
29   0.361177048203672 0.0596186758872364    2
30   0.3714375959172 0.0977634906199683    2
31   0.374819936825247 0.0997705528961887    2
32   0.380894989197145 0.0905473854317052    2
33   0.366699812791921 0.107487548410063    2
34   0.377781027483479 0.104481628857798    2
35   0.375111893190592 0.115675599381348    2
36   0.384309636288322 0.107174382876565    2
37   0.378689109629136 0.120403727622147    2
38   0.37710845697984 0.112928258122679    2
39   0.377444335937867 0.129881860753926    2
40   0.377307796361265 0.0966069759098218    2
41   0.385180306202187 0.0952042237120168    2
42   0.378768631438561 0.114674178189262    2
43   0.375990960251329 0.124064470072312    2
44   0.377948307460088 0.12034777631186    2
45   0.380816195763032 0.117650252411977    2
46   0.373071498338163 0.111434818215571    2
47   0.37362133171132 0.108402337170332    2
48   0.38148723797417 0.11463592670998    2
49   0.374164544962809 0.115004597432403    2
50   0.381004770124605 0.112071832593188    2
51   0.382616554961714 0.12900981840221    2
52   0.373732491077362 0.118326471585533    2
53   0.376440546985918 0.123121341434171    2
54   0.36541463369997 0.133875540566692    2
55   0.380326904636036 0.121718947685849    2
56   0.376654907580019 0.121439135663991    2
57   0.372508974097286 0.11741939228466    2
58   0.381179550322599 0.105726181742625    2
